"Type of Crop","Year","Statistic Label","UNIT","VALUE"
"Spring wheat","1999","Area under Crops","000 Hectares","27.4"
"Spring wheat","1999","Crop Yield per Hectare","Tonnes","7.8"
"Spring wheat","1999","Crop Yield","000 Tonnes","215.3"
"Spring wheat","2000","Area under Crops","000 Hectares","19.1"
"Spring wheat","2000","Crop Yield per Hectare","Tonnes","8.1"
"Spring wheat","2000","Crop Yield","000 Tonnes","155.1"
"Spring wheat","2001","Area under Crops","000 Hectares","35"
"Spring wheat","2001","Crop Yield per Hectare","Tonnes","8"
"Spring wheat","2001","Crop Yield","000 Tonnes","280"
"Spring wheat","2002","Area under Crops","000 Hectares","22.7"
"Spring wheat","2002","Crop Yield per Hectare","Tonnes","7.2"
"Spring wheat","2002","Crop Yield","000 Tonnes","163.6"
"Spring wheat","2003","Area under Crops","000 Hectares","35.2"
"Spring wheat","2003","Crop Yield per Hectare","Tonnes","7.6"
"Spring wheat","2003","Crop Yield","000 Tonnes","267.2"
"Spring wheat","2004","Area under Crops","000 Hectares","31.2"
"Spring wheat","2004","Crop Yield per Hectare","Tonnes","8.6"
"Spring wheat","2004","Crop Yield","000 Tonnes","268.6"
"Spring wheat","2005","Area under Crops","000 Hectares","30.2"
"Spring wheat","2005","Crop Yield per Hectare","Tonnes","7.6"
"Spring wheat","2005","Crop Yield","000 Tonnes","229.7"
"Spring wheat","2006","Area under Crops","000 Hectares","28.3"
"Spring wheat","2006","Crop Yield per Hectare","Tonnes","7.8"
"Spring wheat","2006","Crop Yield","000 Tonnes","221"
"Spring wheat","2007","Area under Crops","000 Hectares","19.6"
"Spring wheat","2007","Crop Yield per Hectare","Tonnes","7.7"
"Spring wheat","2007","Crop Yield","000 Tonnes","150.9"
